Northern Mariana Islands,MNP,487000
Mozambique,MOZ,2033000
Mauritania,MRT,
Mauritius,MUS,1418000
Malawi,MWI,
Malaysia,MYS,26101000
North America,NAC,198713000
Namibia,NAM,1651000
New Caledonia,NCL,130000
Niger,NER,192000
Nigeria,NGA,
Nicaragua,NIC,1455000
Netherlands,NLD,20129000
Norway,NOR,5879000
Nepal,NPL,1197000
Nauru,NRU,
New Zealand,NZL,3888000
OECD members,OED,1364524986
Oman,OMN,3506000
Other small states,OSS,51930012.47
Pakistan,PAK,
Panama,PAN,2494000
Peru,PER,5275000
Philippines,PHL,8261000
Palau,PLW,94000
Papua New Guinea,PNG,211000
Poland,POL,88515000
Pre-demographic dividend,PRE,
Puerto Rico,PRI,4931000
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,17283000
Paraguay,PRY,4368000
West Bank and Gaza,PSE,688000
Pacific island small states,PSS,1752269.772
Post-demographic dividend,PST,1275198370
French Polynesia,PYF,300000
Qatar,QAT,2136500
Romania,ROU,12815000
Russian Federation,RUS,24419000
Rwanda,RWA,1634000
South Asia,SAS,27102764.15
Saudi Arabia,SAU,20292000
Sudan,SDN,
Senegal,SEN,
Singapore,SGP,19116000
Solomon Islands,SLB,28899.99962
Sierra Leone,SLE,71000
El Salvador,SLV,2639000
San Marino,SMR,1904000
Somalia,SOM,
Serbia,SRB,1847000
Sub-Saharan Africa (excluding high income),SSA,55555231.3
South Sudan,SSD,
Sub-Saharan Africa,SSF,56014499.15
Small states,SST,79086475.92
Sao Tome and Principe,STP,
Suriname,SUR,
Slovak Republic,SVK,
Slovenia,SVN,4702000
Sweden,SWE,7616000
Eswatini,SWZ,1226000
Sint Maarten (Dutch part),SXM,1952000
Seychelles,SYC,428000
Syrian Arab Republic,SYR,2424000
Turks and Caicos Islands,TCA,1599000
Chad,TCD,81000
East Asia & Pacific (IDA & IBRD countries),TEA,289300101.8
Europe & Central Asia (IDA & IBRD countries),TEC,331546366.2
Togo,TGO,876000
Thailand,THA,39916000
Tajikistan,TJK,
Turkmenistan,TKM,
Latin America & the Caribbean (IDA & IBRD countries),TLA,172908916.9
Timor-Leste,TLS,74800.00305
Middle East & North Africa (IDA & IBRD countries),TMN,65078454.6
Tonga,TON,94000
South Asia (IDA & IBRD),TSA,26260132.18
Sub-Saharan Africa (IDA & IBRD countries),TSS,56014499.15
Trinidad and Tobago,TTO,480000
Tunisia,TUN,9429000
Turkiye,TUR,51747000
Tuvalu,TUV,3599.999905
Tanzania,TZA,1527000
Uganda,UGA,1543000
Ukraine,UKR,13710000
Upper middle income,UMC,573310641.3
Uruguay,URY,3480000
United States,USA,165478000
Uzbekistan,UZB,6749000
St. Vincent and the Grenadines,VCT,392000
"Venezuela, RB",VEN,
British Virgin Islands,VGB,302399.9939
Virgin Islands (U.S.),VIR,2074000
Vietnam,VNM,18009000
Vanuatu,VUT,256000
World,WLD,2403074088
Samoa,WSM,181000
Kosovo,XKX,
"Yemen, Rep.",YEM,
South Africa,ZAF,14797000
Zambia,ZMB,1266000
Zimbabwe,ZWE,2294000
